Symbol,Company Name,Industry,Series,ISIN Code
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,INE030A01027
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,EQ,INE267A01025
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,EQ,INE0V6F01027
ICICIBANK,ICICI Bank Ltd.,Financial Services,EQ,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,EQ,INE765G01017
ITC,ITC Ltd.,Fast Moving Consumer Goods,EQ,INE154A01025
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,EQ,INE053A01029
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE242A01010
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,EQ,INE053F01010
NAUKRI,Info Edge (India) Ltd.,Consumer Services,EQ,INE663F01032
INFY,Infosys Ltd.,Information Technology,EQ,INE009A01021
INDIGO,InterGlobe Aviation Ltd.,Services,EQ,INE646L01027
JSWENERGY,JSW Energy Ltd.,Power,EQ,INE121E01018
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,EQ,INE019A01038
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,EQ,INE749A01030
JIOFIN,Jio Financial Services Ltd.,Financial Services,EQ,INE758E01017
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,EQ,INE237A01028
LTIM,LTIMindtree Ltd.,Information Technology,EQ,INE214T01019
LT,Larsen & Toubro Ltd.,Construction,EQ,INE018A01030
LICI,Life Insurance Corporation of India,Financial Services,EQ,INE0J1Y01017
LODHA,Lodha Developers Ltd.,Realty,EQ,INE670K01029
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,EQ,INE101A01026
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,EQ,INE585B01010
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,EQ,INE027H01010
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,EQ,INE249Z01020
NTPC,NTPC Ltd.,Power,EQ,INE733E01010
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,EQ,INE239A01024
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE213A01029
PIDILITIND,Pidilite Industries Ltd.,Chemicals,EQ,INE318A01026
PFC,Power Finance Corporation Ltd.,Financial Services,EQ,INE134E01011
POWERGRID,Power Grid Corporation of India Ltd.,Power,EQ,INE752E01010
PNB,Punjab National Bank,Financial Services,EQ,INE160A01022
RECLTD,REC Ltd.,Financial Services,EQ,INE020B01018
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,EQ,INE002A01018
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,EQ,INE123W01016
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,EQ,INE775A01035
SHREECEM,Shree Cement Ltd.,Construction Materials,EQ,INE070A01015
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,EQ,INE721A01047
ENRIN,Siemens Energy India Ltd.,Capital Goods,EQ,INE1NPP01017
SIEMENS,Siemens Ltd.,Capital Goods,EQ,INE003A01024
SOLARINDS,Solar Industries India Ltd.,Chemicals,EQ,INE343H01029
SBIN,State Bank of India,Financial Services,EQ,INE062A01020
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,EQ,INE044A01036
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,EQ,INE494B01023
TCS,Tata Consultancy Services Ltd.,Information Technology,EQ,INE467B01029
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE192A01025
TMCV,Tata Motors Ltd.,Capital Goods,BE,INE1TAE01010
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,EQ,INE155A01022
TATAPOWER,Tata Power Co. Ltd.,Power,EQ,INE245A01021
TATASTEEL,Tata Steel Ltd.,Metals & Mining,EQ,INE081A01020
TECHM,Tech Mahindra Ltd.,Information Technology,EQ,INE669C01036
TITAN,Titan Company Ltd.,Consumer Durables,EQ,INE280A01028
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,EQ,INE685A01028
TRENT,Trent Ltd.,Consumer Services,EQ,INE849A01020
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,EQ,INE481G01011
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,EQ,INE854D01024
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,EQ,INE200M01039
VEDL,Vedanta Ltd.,Metals & Mining,EQ,INE205A01025
WIPRO,Wipro Ltd.,Information Technology,EQ,INE075A01022
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,EQ,INE010B01027
